id,Handle,recipe_name,Body (HTML),Vendor,ingredients,recipe_urls
25,cotton-matka-embroidery-fabric-34,Cotton Matka Embroidery Fabric,Saroj Fabrics,Embroidered Cotton,Seagreen Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.38.03.jpg?v=1624277189
31,cotton-matka-embroidery-fabric-25,Cotton Matka Embroidery Fabric,Saroj Fabrics,Embroidered Cotton,sunshine yellow Matka silk with white small floral embroidery spread apart,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-06-18at13.37.38.jpg?v=1624273627
43,georgette-luckhnowi-embroidery-fabric-18,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.35.jpg?v=1622268176
44,georgette-luckhnowi-embroidery-fabric-17,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Sage Green georgette heavy embroidery in lighter green,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.34.jpg?v=1622268146
51,georgette-luckhnowi-embroidery-fabric-14,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Light Aqua Blue georgette heavy embroidery in lighter blue,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.24.jpg?v=1622267873
54,georgette-luckhnowi-embroidery-fabric-7,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Baby Pink georgette heavy embroidery in lighter pink,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.22.jpg?v=1622267720
57,georgette-luckhnowi-embroidery-fabric-5,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Beige georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.19.jpg?v=1622267649
60,georgette-luckhnowi-embroidery-fabric,Georgette Luckhnowi Embroidery Fabric,Saroj Fabrics,Embroidered Georgette,Taupe  georgette  heavy embroidery in off white ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-05-24at10.16.14.jpg?v=1622267314
87,modal-satin-printed-fabric-2,Modal Satin Printed Fabric,Saroj Fabrics,Printed Satin Linen,"Gray, orange, white, brown and sea green printed Satin linen",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-27at12.39.00PM_6.jpg?v=1617095513
113,linen-embroidery-fabric-6,Linen Embroidery Fabric,Saroj Fabrics,Embroidered Linen,Gray body with pink and green embroidery Linen ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-03-18at3.19.46PM_14.jpg?v=1616491179
